Read 953 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
3 2 1632174284.9829023 bao_train/bao_866.sql 0.11869549751281738
3 3 1632174285.100873 bao_train/bao_1149.sql 0.1179044246673584
3 4 1632174285.2940555 bao_train/bao_496.sql 0.1931135654449463
3 5 1632174285.410394 bao_train/bao_1190.sql 0.11626958847045898
3 6 1632174286.5922818 bao_train/bao_369.sql 1.181821584701538
3 7 1632174286.709958 bao_train/bao_1051.sql 0.11758995056152344
3 8 1632174286.8758557 bao_train/bao_336.sql 0.1658315658569336
3 9 1632174286.993509 bao_train/bao_987.sql 0.11758804321289062
3 10 1632174287.3221986 bao_train/bao_174.sql 0.3286266326904297
3 11 1632174287.440098 bao_train/bao_808.sql 0.11781764030456543
3 12 1632174287.5743 bao_train/bao_445.sql 0.13413691520690918
3 13 1632174287.6927543 bao_train/bao_399.sql 0.11837148666381836
3 14 1632174287.8101146 bao_train/bao_963.sql 0.11730122566223145
3 15 1632174287.9286911 bao_train/bao_996.sql 0.11851787567138672
3 16 1632174288.0867994 bao_train/bao_597.sql 0.15804409980773926
3 17 1632174288.2040977 bao_train/bao_749.sql 0.11722898483276367
3 18 1632174288.321414 bao_train/bao_1138.sql 0.11725592613220215
3 19 1632174288.5596793 bao_train/bao_220.sql 0.23820185661315918
3 20 1632174288.6766 bao_train/bao_973.sql 0.1168513298034668
3 21 1632174289.6111984 bao_train/bao_624.sql 0.9345381259918213
3 22 1632174289.7405457 bao_train/bao_580.sql 0.12926506996154785
3 23 1632174289.8587952 bao_train/bao_776.sql 0.11818289756774902
3 24 1632174289.976884 bao_train/bao_1050.sql 0.11802530288696289
3 25 1632174290.095584 bao_train/bao_629.sql 0.11863589286804199
3 26 1632174290.22077 bao_train/bao_519.sql 0.12511372566223145
3 27 1632174290.3394668 bao_train/bao_870.sql 0.11862897872924805
3 28 1632174290.4596803 bao_train/bao_1141.sql 0.12015342712402344
3 29 1632174290.5775225 bao_train/bao_966.sql 0.11778569221496582
3 30 1632174290.6955001 bao_train/bao_1071.sql 0.11792159080505371
3 31 1632174290.8125145 bao_train/bao_1166.sql 0.11695408821105957
3 32 1632174290.9281683 bao_train/bao_639.sql 0.11559152603149414
3 33 1632174291.044914 bao_train/bao_710.sql 0.11667895317077637
3 34 1632174291.4262788 bao_train/bao_135.sql 0.3813004493713379
3 35 1632174291.5442972 bao_train/bao_1107.sql 0.11793971061706543
