Read 966 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
6 9 1631923796.0088632 bao_train/bao_41.sql 0.22885894775390625
6 10 1631923796.125246 bao_train/bao_755.sql 0.11631894111633301
6 11 1631923796.317846 bao_train/bao_253.sql 0.1925337314605713
6 12 1631923796.4333923 bao_train/bao_644.sql 0.11548805236816406
6 13 1631923796.8152359 bao_train/bao_52.sql 0.3817861080169678
6 14 1631923797.0881598 bao_train/bao_348.sql 0.27284908294677734
6 15 1631923797.6206996 bao_train/bao_615.sql 0.5324816703796387
6 16 1631923797.791585 bao_train/bao_167.sql 0.17082500457763672
6 17 1631923797.9070752 bao_train/bao_738.sql 0.11543393135070801
6 18 1631923798.0233564 bao_train/bao_1000.sql 0.11622428894042969
6 19 1631923798.1389391 bao_train/bao_935.sql 0.11552643775939941
6 20 1631923799.5977902 bao_train/bao_570.sql 1.4587974548339844
6 21 1631923799.7143214 bao_train/bao_747.sql 0.11646080017089844
6 22 1631923799.8322198 bao_train/bao_768.sql 0.11783242225646973
6 23 1631923799.9502256 bao_train/bao_703.sql 0.11793804168701172
